date,day,temp_high,temp_low,rain_amt,brooklyn_bridge,manhattan_bridge,williamsburg_bridge,queensboro_bridge,total_cyclists,
1-Apr,Saturday,46,37,0,606,"1,446","1,915","1,430","5,397",
2-Apr,Sunday,62.1,41,0,"2,021","3,943","4,207","2,862","13,033",
3-Apr,Monday,63,50,0.03,"2,470","4,988","5,178","3,689","16,325",
4-Apr,Tuesday,51.1,46,1.18,723,"1,913","2,279","1,666","6,581",
5-Apr,Wednesday,63,46,0,"2,807","5,276","5,711","4,197","17,991",
6-Apr,Thursday,48.9,41,0.73,461,"1,324","1,739","1,372","4,896",
7-Apr,Friday,48,43,T,"1,222","2,955","3,399","2,765","10,341",
8-Apr,Saturday,55.9,39.9,0,"1,674","3,163","4,082","2,691","11,610",
9-Apr,Sunday,66,45,0,"2,375","4,377","4,886","3,261","14,899",
10-Apr,Monday,73.9,55,0,"3,324","6,359","6,881","4,731","21,295",
11-Apr,Tuesday,80.1,62.1,0,"3,887","7,247","8,079","5,501","24,714",
12-Apr,Wednesday,73.9,57.9,0.02,"2,565","5,633","6,620","4,537","19,355",
13-Apr,Thursday,64,48.9,0,"3,353","6,052","6,775","4,700","20,880",
14-Apr,Friday,64.9,48.9,0,"2,942","5,054","5,877","4,142","18,015",
15-Apr,Saturday,64.9,52,0,"2,253","3,853","4,965","3,291","14,362",
16-Apr,Sunday,84.9,62.1,T,"2,877","4,585","5,259","3,687","16,408",
17-Apr,Monday,73.9,64,T,"3,152","6,352","6,924","4,658","21,086",
18-Apr,Tuesday,66,50,0,"3,415","6,691","7,341","5,012","22,459",
19-Apr,Wednesday,52,45,T,"1,965","4,632","5,234","3,996","15,827", 
20-Apr,Thursday,64.9,50,0.17,"1,567","3,365","4,302","3,056","12,290",
21-Apr,Friday,53.1,48,0.29,"1,426","3,142","3,674","2,672","10,914",
22-Apr,Saturday,55.9,52,0.11,"1,318","2,297","2,963","2,366","8,944",
23-Apr,Sunday,64.9,46.9,0,"2,520","4,681","5,105","3,434","15,740",
24-Apr,Monday,60.1,50,T,"2,544","5,366","5,762","4,183","17,855",
25-Apr,Tuesday,54,50,0.91,611,"1,402","1,902","1,578","5,493",
26-Apr,Wednesday,59,54,0.34,"1,247","2,774","3,429","2,369","9,819",
27-Apr,Thursday,68,59,0,"2,959","5,311","6,026","4,285","18,581",
28-Apr,Friday,82.9,57.9,0,"3,679","6,774","7,196","5,138","22,787",
29-Apr,Saturday,84,64,0.06,"3,315","5,605","6,045","4,078","19,043",
30-Apr,Sunday,64,54,0,"2,225","4,057","4,513","3,137","13,932",
